School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Georgia,1906,2025,georgia
Georgia Southern,1972,2025,georgia-southern
Georgia State,1974,2025,georgia-state
Georgia Tech,1920,2025,georgia-tech
Gettysburg Bullets,1901,1973,gettysburg
Gonzaga,1944,2025,gonzaga
Grambling,1978,2025,grambling
Grand Canyon,2014,2025,grand-canyon
Green Bay,1982,2025,green-bay
Grinnell Pioneers,1901,1939,grinnell
Grove City Wolverines,1899,1925,grove-city
Hamline Pipers,1945,1948,hamline
Hampton,1996,2025,hampton
Hardin-Simmons Cowboys,1923,1990,hardin-simmons
Hartford Hawks,1985,2023,hartford
Harvard,1901,2025,harvard
Haskell (KS) Fighting Indians,1903,1908,haskell-indian-nations-institute
Hawaii,1971,2025,hawaii
High Point,2000,2025,high-point
Hiram Terriers,1894,1904,hiram
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Hofstra,1943,2025,hofstra
Holy Cross,1901,2025,holy-cross
Hope Flying Dutchmen,1908,1913,hope
Houston,1951,2025,houston
Houston Christian,1974,2025,houston-baptist
Howard,1974,2025,howard
Idaho,1906,2025,idaho
Idaho State,1959,2025,idaho-state
Illinois,1906,2025,illinois
Illinois State,1899,2025,illinois-state
Illinois Wesleyan Titans,1928,1928,illinois-wesleyan
Illinois-Chicago,1982,2025,illinois-chicago
Incarnate Word,2014,2025,incarnate-word
Indiana,1901,2025,indiana
Indiana State,1900,2025,indiana-state
Iona,1954,2025,iona
Iowa,1893,2025,iowa
Iowa State,1908,2025,iowa-state
IU Indy,1999,2025,iupui
Jackson State,1978,2025,jackson-state
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
